Quarter,Days,Period,Año Texto
1Q,258.54891466257726,1,2023
1Q,27.224307427756465,2,2023
1Q,69.09401512265089,3,2023
2Q,74.23228706810184,4,2023
2Q,62.19240657539538,5,2023
2Q,96.16652248864753,6,2023
3Q,19.25184661134898,7,2023
3Q,90.23417187362595,8,2023
3Q,55.56031717230538,9,2023
4Q,135.62722931585492,10,2023
4Q,58.64694594338293,11,2023
4Q,135.20346398342406,12,2023
1Q,11.733378559646937,1,2024
1Q,43.547311726757094,2,2024
1Q,177.77982052841733,3,2024
2Q,47.72125110479132,4,2024
2Q,81.73451866551262,5,2024
2Q,55.167316172360245,6,2024
3Q,22.0831371911167,7,2024
3Q,0.8169915522357769,8,2024
3Q,-39.7208418022376,9,2024
4Q,-63.347350160470725,10,2024
4Q,-165.30601060667988,11,2024
4Q,-100.08978930313468,12,2024
1Q,63.64656903066999,1,2025
1Q,-98.93233345211543,2,2025
1Q,40.44301548733816,3,2025
2Q,22.146715220617423,4,2025
2Q,116.12570555422626,5,2025
2Q,53.59695776134246,6,2025
3Q,1.4572192031465079,7,2025
3Q,17.515819399534493,8,2025
3Q,127.1558552605292,9,2025
4Q,129.98982229456908,10,2025
4Q,151.9397366978457,11,2025
4Q,64.47622596202285,12,2025
