Quarter,Times,Period,Año Texto
1Q,1.405108119512551,1,2023
1Q,0.9292305530940261,2,2023
1Q,1.3878942433916996,3,2023
2Q,2.4112257911375674,4,2023
2Q,1.2048355124381072,5,2023
2Q,1.1003404146110165,6,2023
3Q,2.242160357334645,7,2023
3Q,1.1365326012302446,8,2023
3Q,7.548964430131874,9,2023
4Q,2.072774457235452,10,2023
4Q,0.5406962901487412,11,2023
4Q,4.6546508291819855,12,2023
1Q,0.35335954024384963,1,2024
1Q,0.949840858061258,2,2024
1Q,0.51964928447478,3,2024
2Q,3.026055133676415,4,2024
2Q,3.0993467495156106,5,2024
2Q,1.6080161270661892,6,2024
3Q,0.5138643581034835,7,2024
3Q,0.6451173727054907,8,2024
3Q,0.2413862562640915,9,2024
4Q,0.19060681220698708,10,2024
4Q,0.13836481438346385,11,2024
4Q,0.22009967289132135,12,2024
1Q,0.6490996456458309,1,2025
1Q,0.15644453999627417,2,2025
1Q,0.30775250642941054,3,2025
2Q,0.4113598564070626,4,2025
2Q,0.5980154999382874,5,2025
2Q,0.6544763448700252,6,2025
3Q,0.42044171788768653,7,2025
3Q,0.5512654870015892,8,2025
3Q,-0.04709793025324547,9,2025
4Q,0.8061296099279827,10,2025
4Q,0.2997282807114574,11,2025
4Q,0,12,2025
