Quarter,Times,Period,Año Texto
1Q,-5.92,1,2023
1Q,-15.4,2,2023
1Q,-11.74,3,2023
2Q,-1.17,4,2023
2Q,-3.39,5,2023
2Q,-0.64,6,2023
3Q,-7.17,7,2023
3Q,-7.79,8,2023
3Q,-5.61,9,2023
4Q,-0.16,10,2023
4Q,-1.52,11,2023
4Q,-0.16,12,2023
1Q,-2.48,1,2024
1Q,-4.59,2,2024
1Q,-4.52,3,2024
2Q,-7.41,4,2024
2Q,-5.23,5,2024
2Q,-2.64,6,2024
3Q,-3.91,7,2024
3Q,-8.17,8,2024
3Q,0.3,9,2024
4Q,0.16,10,2024
4Q,0.21,11,2024
4Q,1.45,12,2024
1Q,1.41,1,2025
1Q,1.5,2,2025
1Q,1.52,3,2025
2Q,1.57,4,2025
2Q,1.45,5,2025
2Q,1.35,6,2025
3Q,1.4,7,2025
3Q,1.41,8,2025
3Q,1.53,9,2025
4Q,1.43,10,2025
4Q,1.41,11,2025
4Q,1.59,12,2025
