Quarter,Times,Period,Año Texto
1Q,16.017167661043782,1,2023
1Q,5.6868393610618915,2,2023
1Q,5.22442490121542,3,2023
2Q,36.24889456657997,4,2023
2Q,29.50129767358863,5,2023
2Q,-93.53586211293839,6,2023
3Q,8.059612797872674,7,2023
3Q,6.12733817282916,8,2023
3Q,6.404037612730704,9,2023
4Q,-293.54460242745074,10,2023
4Q,22.080426563805876,11,2023
4Q,155.80536542112645,12,2023
1Q,9.092172889206445,1,2024
1Q,4.835971159689226,2,2024
1Q,4.185667744824377,3,2024
2Q,2.6269078218859088,4,2024
2Q,3.4319656346540524,5,2024
2Q,6.383424406025223,6,2024
3Q,4.0839924574453015,7,2024
3Q,2.453840675628877,8,2024
3Q,5.860127355677814,9,2024
4Q,10.558060023592418,10,2024
4Q,9.23202308957063,11,2024
4Q,1.3034582577321345,12,2024
1Q,1.279326874758742,1,2025
1Q,1.2635754727145203,2,2025
1Q,1.2979968910889392,3,2025
2Q,1.2968855230917868,4,2025
2Q,1.3450373904836836,5,2025
2Q,1.4339579666209417,6,2025
3Q,1.4016369962104367,7,2025
3Q,1.3977627577553453,8,2025
3Q,1.3298391873816042,9,2025
4Q,1.3516109081819494,10,2025
4Q,1.3504191101907128,11,2025
4Q,1.3319043838068982,12,2025
