Quarter,%,Period,Año Texto
1Q,15.02,1,2023
1Q,4.69,2,2023
1Q,4.22,3,2023
2Q,35.25,4,2023
2Q,28.5,5,2023
2Q,-94.54,6,2023
3Q,7.06,7,2023
3Q,5.13,8,2023
3Q,5.4,9,2023
4Q,-294.54,10,2023
4Q,21.08,11,2023
4Q,154.81,12,2023
1Q,8.09,1,2024
1Q,3.84,2,2024
1Q,3.19,3,2024
2Q,1.63,4,2024
2Q,2.43,5,2024
2Q,5.38,6,2024
3Q,3.08,7,2024
3Q,1.45,8,2024
3Q,4.86,9,2024
4Q,9.56,10,2024
4Q,8.23,11,2024
4Q,0.31,12,2024
1Q,0.28,1,2025
1Q,0.27,2,2025
1Q,0.3,3,2025
2Q,0.3,4,2025
2Q,0.35,5,2025
2Q,0.44,6,2025
3Q,0.41,7,2025
3Q,0.41,8,2025
3Q,0.34,9,2025
4Q,0.36,10,2025
4Q,0.36,11,2025
4Q,0.34,12,2025
