Quarter,$ COP,Period,Año Texto
1Q,15.01716766104378,1,2023
1Q,4.6868393610618915,2,2023
1Q,4.22442490121542,3,2023
2Q,35.24889456657997,4,2023
2Q,28.50129767358863,5,2023
2Q,-94.53586211293837,6,2023
3Q,7.059612797872674,7,2023
3Q,5.127338172829159,8,2023
3Q,5.404037612730704,9,2023
4Q,-294.54460242745074,10,2023
4Q,21.080426563805872,11,2023
4Q,154.80536542112648,12,2023
1Q,8.092172889206445,1,2024
1Q,3.8359711596892256,2,2024
1Q,3.185667744824377,3,2024
2Q,1.6269078218859085,4,2024
2Q,2.431965634654052,5,2024
2Q,5.383424406025223,6,2024
3Q,3.083992457445302,7,2024
3Q,1.4538406756288766,8,2024
3Q,4.860127355677814,9,2024
4Q,9.55806002359242,10,2024
4Q,8.232023089570632,11,2024
4Q,0.3034582577321344,12,2024
1Q,0.279326874758742,1,2025
1Q,0.2635754727145203,2,2025
1Q,0.29799689108893906,3,2025
2Q,0.29688552309178673,4,2025
2Q,0.3450373904836836,5,2025
2Q,0.43395796662094144,6,2025
3Q,0.40163699621043647,7,2025
3Q,0.3977627577553451,8,2025
3Q,0.329839187381604,9,2025
4Q,0.3516109081819494,10,2025
4Q,0.35041911019071287,11,2025
4Q,0.33190438380689824,12,2025
