Quarter,Times,Period,Año Texto
1Q,-0.013235947093492021,1,2023
1Q,2.7455660823041246,2,2023
1Q,-0.604047750516873,3,2023
2Q,-31.453298916188775,4,2023
2Q,0.6212652163684595,5,2023
2Q,1.7598094023899065,6,2023
3Q,1.1734106522084233,7,2023
3Q,1.4509312631778213,8,2023
3Q,1.8612795266430109,9,2023
4Q,1.1528199695203225,10,2023
4Q,1.070112673944797,11,2023
4Q,2.1247778471460688,12,2023
1Q,1.6153927257469203,1,2024
1Q,2.568141218431753,2,2024
1Q,399.70687525800736,3,2024
2Q,-4.420468636176811,4,2024
2Q,7.219879596742556,5,2024
2Q,0.3252027708522075,6,2024
3Q,2.215294763484105,7,2024
3Q,2.3000484458862287,8,2024
3Q,0.030585486203562058,9,2024
4Q,0.10642678385741064,10,2024
4Q,0.055179708931070624,11,2024
4Q,0.7711293093256476,12,2024
1Q,-29.433230081757145,1,2025
1Q,-13.403422269614028,2,2025
1Q,1.5896082415782247,3,2025
2Q,2.041592975097036,4,2025
2Q,2.027276686995496,5,2025
2Q,0.13846984213936858,6,2025
3Q,0.48178773845778905,7,2025
3Q,0.45753698573411594,8,2025
3Q,1.5317762168667628,9,2025
4Q,1.0748521558655117,10,2025
4Q,2.004220780367771,11,2025
4Q,1.2770579362148011,12,2025
