Quarter,Times,Period,Año Texto
1Q,2.3682450166047233,1,2023
1Q,-0.40758530971680174,2,2023
1Q,1.9651164563490038,3,2023
2Q,55.099405350660284,4,2023
2Q,0.5710290158923746,5,2023
2Q,0.31511028407779446,6,2023
3Q,0.938524069144135,7,2023
3Q,1.0954652140816281,8,2023
3Q,1.0151390819013124,9,2023
4Q,0.608787549564446,10,2023
4Q,0.5793391195960657,11,2023
4Q,0.035593053750635956,12,2023
1Q,0.358297337858903,1,2024
1Q,1.5930321238733534,2,2024
1Q,82.95589786552051,3,2024
2Q,-2.9370917818569424,4,2024
2Q,6.154770870468422,5,2024
2Q,1.1241674539139548,6,2024
3Q,2.547314452104878,7,2024
3Q,5.338425656840483,8,2024
3Q,0.24738239832543146,9,2024
4Q,0.19188015008570206,10,2024
4Q,0.3105409432281977,11,2024
4Q,7.414653971839521,12,2024
1Q,-102.155425472203,1,2025
1Q,-89.72423956749547,2,2025
1Q,8.632184866757225,3,2025
2Q,8.501302164300558,4,2025
2Q,4.5033505736406445,5,2025
2Q,2.2225815825468924,6,2025
3Q,2.8108551337647194,7,2025
3Q,2.962334437918785,8,2025
3Q,6.22747393170593,9,2025
4Q,4.959105262936734,10,2025
4Q,5.203879433668637,11,2025
4Q,5.588201656582891,12,2025
