Quarter,%,Period,Año Texto
1Q,3.0661187399030694,1,2023
1Q,0.09790806777946383,2,2023
1Q,0.04179228243021346,3,2023
2Q,0.2104832752861289,4,2023
2Q,0.14569311835372636,5,2023
2Q,0.17284267211961998,6,2023
3Q,-0.0014541905760508097,7,2023
3Q,-0.04198202813593319,8,2023
3Q,-0.01898928521090075,9,2023
4Q,0.07236788905633759,10,2023
4Q,0.03963601289697045,11,2023
4Q,0.11123822931484575,12,2023
1Q,-0.7615400751015196,1,2024
1Q,-0.6461215787071097,2,2024
1Q,-0.610243857435597,3,2024
2Q,-0.6239741284299697,4,2024
2Q,-0.375803702384149,5,2024
2Q,-0.15713151053869348,6,2024
3Q,-0.20254245414218527,7,2024
3Q,-0.32330672488653195,8,2024
3Q,-0.28168049211375157,9,2024
4Q,-0.16053014703196272,10,2024
4Q,-0.17195296635669008,11,2024
4Q,-0.250677544693875,12,2024
1Q,0.35702068685542154,1,2025
1Q,-0.19523889282733564,2,2025
1Q,-0.18789403877410527,3,2025
2Q,-0.1958963752886801,4,2025
2Q,0.01154072503668457,5,2025
2Q,0.13691624852639933,6,2025
3Q,0.06632749131902342,7,2025
3Q,0.04987467542209982,8,2025
3Q,-0.04040862937464113,9,2025
4Q,0.035655579137534414,10,2025
4Q,0.04984751366826553,11,2025
4Q,-0.07141395143759893,12,2025
