Quarter,%,Period,Año Texto
1Q,"1,00",1,2023
1Q,"1,00",2,2023
1Q,"1,00",3,2023
2Q,"1,00",4,2023
2Q,"1,00",5,2023
2Q,"1,00",6,2023
3Q,"1,00",7,2023
3Q,"1,00",8,2023
3Q,"1,00",9,2023
4Q,"1,00",10,2023
4Q,"1,00",11,2023
4Q,"1,00",12,2023
1Q,"1,00",1,2024
1Q,"1,00",2,2024
1Q,"1,00",3,2024
2Q,"1,00",4,2024
2Q,"1,00",5,2024
2Q,"1,00",6,2024
3Q,"1,00",7,2024
3Q,"1,00",8,2024
3Q,"1,00",9,2024
4Q,"1,00",10,2024
4Q,"1,00",11,2024
4Q,"1,00",12,2024
1Q,"1,00",1,2025
1Q,"1,00",2,2025
1Q,"1,00",3,2025
2Q,"1,00",4,2025
2Q,"1,00",5,2025
2Q,"1,00",6,2025
3Q,"1,00",7,2025
3Q,"1,00",8,2025
3Q,"1,00",9,2025
4Q,"1,00",10,2025
4Q,"1,00",11,2025
4Q,"1,00",12,2025
