Quarter,Mill,Period,Año Texto
1Q,1953149,1,2023
1Q,7746478,2,2023
1Q,7932159,3,2023
2Q,989118.8200000003,4,2023
2Q,1855316.33,5,2023
2Q,-521322.8800000008,6,2023
3Q,7764583.890000001,7,2023
3Q,10520394.79,8,2023
3Q,8696363.01,9,2023
4Q,-196942.41999999993,10,2023
4Q,2356116.45,11,2023
4Q,279872.16000000015,12,2023
1Q,4931949.99,1,2024
1Q,10123594.1,2,2024
1Q,11005096.83,3,2024
2Q,19618657.29,4,2024
2Q,15023497.24,5,2024
2Q,8039167.96,6,2024
3Q,12546539.44,7,2024
3Q,27359475.95,8,2024
3Q,27394808.46,9,2024
4Q,14740074.1,10,2024
4Q,18670704.92,11,2024
4Q,129749331.24,12,2024
1Q,124540733.97,1,2025
1Q,131535281.5,2,2025
1Q,132094508.96,3,2025
2Q,134208150.61999999,4,2025
2Q,122930911.75,5,2025
2Q,113487523.64999999,6,2025
3Q,116210778.49,7,2025
3Q,115878480.58,8,2025
3Q,124035662.11999999,9,2025
4Q,115835112.19999999,10,2025
4Q,114106859.14999999,11,2025
4Q,128994759.14999999,12,2025
