Quarter,%,Period,Año Texto
1Q,-0.259267773870374,1,2023
1Q,-0.05260897697354204,2,2023
1Q,-0.05144428451950532,3,2023
2Q,-0.2531049195313277,4,2023
2Q,-0.14997456382847296,5,2023
2Q,-0.21708090930454657,6,2023
3Q,-0.03674485497002543,7,2023
3Q,0.007079126812033231,8,2023
3Q,-0.024558303207423034,9,2023
4Q,-0.17749103450893697,10,2023
4Q,-0.14816114131815702,11,2023
4Q,0,12,2023
1Q,0.10374343471454674,1,2024
1Q,0.20106705238206732,2,2024
1Q,0.23283473969983826,3,2024
2Q,0.37524513780936114,4,2024
2Q,0.28595013540835734,5,2024
2Q,0.1512019827739995,6,2024
3Q,0.23939644570191343,7,2024
3Q,0.4033556735295647,8,2024
3Q,0.16890140637244083,9,2024
4Q,0.09291601267788774,10,2024
4Q,0.10669493369509263,11,2024
4Q,0,12,2024
1Q,-0.03269097209631278,1,2025
1Q,0.010745482309620196,2,2025
1Q,0.013677834437322789,3,2025
2Q,0.025617653426570363,4,2025
2Q,-0.0412371133727576,5,2025
2Q,-0.09992732861573446,6,2025
3Q,-0.0831170802290234,7,2025
3Q,-0.08563806366721118,8,2025
3Q,-0.03463932263339816,9,2025
4Q,-0.08887240319200529,10,2025
4Q,-0.10151379464250115,11,2025
4Q,-0.004391932160598363,12,2025
