Quarter,Times,Period,Año Texto
1Q,-40.17,1,2023
1Q,-5.82,2,2023
1Q,-3.33,3,2023
2Q,-14.27,4,2023
2Q,-0.32,5,2023
2Q,-0.41,6,2023
3Q,0,7,2023
3Q,0.15,8,2023
3Q,0.08,9,2023
4Q,-0.32,10,2023
4Q,-0.19,11,2023
4Q,-0.58,12,2023
1Q,2.17,1,2024
1Q,4.49,2,2024
1Q,3.33,3,2024
2Q,4.09,4,2024
2Q,3.15,5,2024
2Q,1.15,6,2024
3Q,1.57,7,2024
3Q,2.98,8,2024
3Q,2.74,9,2024
4Q,1.55,10,2024
4Q,1.78,11,2024
4Q,3.04,12,2024
1Q,-3.71,1,2025
1Q,4.36,2,2025
1Q,5.77,3,2025
2Q,8.43,4,2025
2Q,-0.3,5,2025
2Q,-4.29,6,2025
3Q,-2.55,7,2025
3Q,-2.26,8,2025
3Q,1.99,9,2025
4Q,-1.85,10,2025
4Q,-2.66,11,2025
4Q,4.31,12,2025
