Quarter,%,Period,Año Texto
1Q,0.9375669892978549,1,2023
1Q,0.8241553987181252,2,2023
1Q,0.8085913724652529,3,2023
2Q,0.9724129518442761,4,2023
2Q,0.9661031860000091,5,2023
2Q,1.0106910865780288,6,2023
3Q,0.8759245605118959,7,2023
3Q,0.836796995400978,8,2023
3Q,0.8438485123803642,9,2023
4Q,1.0034066373277877,10,2023
4Q,0.9547110198659298,11,2023
4Q,0.9935817357939049,12,2023
1Q,0.8900152898338387,1,2024
1Q,0.7932163019631691,2,2024
1Q,0.7610894937285668,3,2024
2Q,0.619324290076505,4,2024
2Q,0.7086217909927289,5,2024
2Q,0.843344271601914,6,2024
3Q,0.7551415654118178,7,2024
3Q,0.5924755792289907,8,2024
3Q,0.8293552444673218,9,2024
4Q,0.9052856303368745,10,2024
4Q,0.8916813800942835,11,2024
4Q,0.23281010798160612,12,2024
1Q,0.21833894078979468,1,2025
1Q,0.2085949580425814,2,2025
1Q,0.22958213007655054,3,2025
2Q,0.22892191932562325,4,2025
2Q,0.25652624449317807,5,2025
2Q,0.3026294889546478,6,2025
3Q,0.2865485124153616,7,2025
3Q,0.28457100859813206,8,2025
3Q,0.2480293786732538,9,2025
4Q,0.2601421060258391,10,2025
4Q,0.25948915232784653,11,2025
4Q,0.24919535354199893,12,2025
