Quarter,Days,Period,Año Texto
1Q,258.55,1,2023
1Q,27.22,2,2023
1Q,69.09,3,2023
2Q,74.23,4,2023
2Q,62.19,5,2023
2Q,96.17,6,2023
3Q,19.25,7,2023
3Q,90.23,8,2023
3Q,55.56,9,2023
4Q,135.63,10,2023
4Q,58.65,11,2023
4Q,135.2,12,2023
1Q,11.73,1,2024
1Q,43.55,2,2024
1Q,177.78,3,2024
2Q,47.72,4,2024
2Q,81.73,5,2024
2Q,55.17,6,2024
3Q,22.08,7,2024
3Q,0.82,8,2024
3Q,-39.72,9,2024
4Q,-63.35,10,2024
4Q,-165.31,11,2024
4Q,-100.09,12,2024
1Q,63.65,1,2025
1Q,-98.93,2,2025
1Q,40.44,3,2025
2Q,22.15,4,2025
2Q,116.13,5,2025
2Q,53.6,6,2025
3Q,1.46,7,2025
3Q,17.52,8,2025
3Q,127.16,9,2025
4Q,129.99,10,2025
4Q,151.94,11,2025
4Q,64.48,12,2025
