Quarter,Days,Period,Año Texto
1Q,22.06,1,2023
1Q,30.13,2,2023
1Q,22.34,3,2023
2Q,12.44,4,2023
2Q,25.73,5,2023
2Q,27.26,6,2023
3Q,13.83,7,2023
3Q,27.28,8,2023
3Q,3.97,9,2023
4Q,14.96,10,2023
4Q,55.48,11,2023
4Q,6.66,12,2023
1Q,87.73,1,2024
1Q,30.53,2,2024
1Q,59.66,3,2024
2Q,9.91,4,2024
2Q,10,5,2024
2Q,18.66,6,2024
3Q,60.33,7,2024
3Q,48.05,8,2024
3Q,124.28,9,2024
4Q,162.64,10,2024
4Q,216.82,11,2024
4Q,140.85,12,2024
1Q,47.76,1,2025
1Q,178.98,2,2025
1Q,100.73,3,2025
2Q,72.93,4,2025
2Q,51.84,5,2025
2Q,45.84,6,2025
3Q,73.73,7,2025
3Q,56.23,8,2025
3Q,0,9,2025
4Q,38.46,10,2025
4Q,100.09,11,2025
4Q,0,12,2025
