Quarter,%,Period,Año Texto
1Q,0,1,2023
1Q,0,2,2023
1Q,0,3,2023
2Q,0,4,2023
2Q,0,5,2023
2Q,0,6,2023
3Q,0,7,2023
3Q,0,8,2023
3Q,0,9,2023
4Q,0,10,2023
4Q,0,11,2023
4Q,-0.8491569393254821,12,2023
1Q,-0.5000712455659477,1,2024
1Q,-0.3900593551973344,2,2024
1Q,-0.004208933911882051,3,2024
2Q,0.31680238060515403,4,2024
2Q,-0.15527379735996566,5,2024
2Q,-0.8443063578795723,6,2024
3Q,-0.3757115112785897,7,2024
3Q,-0.486388658703429,8,2024
3Q,-10.028922032633421,9,2024
4Q,-10.820429220214153,10,2024
4Q,-12.129803202960584,11,2024
4Q,0.03639633310655979,12,2024
1Q,-0.0019202613456014758,1,2025
1Q,-0.00290701601287527,2,2025
1Q,0.036314844382851735,3,2025
2Q,0.040331245022794004,4,2025
2Q,0.061815124980285754,5,2025
2Q,0.11890697871638964,6,2025
3Q,0.09739834216212284,7,2025
3Q,0.092532212905231,8,2025
3Q,0.04924934320598361,9,2025
4Q,0.047720892811839694,10,2025
4Q,0.041507388490921525,11,2025
4Q,0.06514189230825189,12,2025
