Quarter,%,Period,Año Texto
1Q,0.0,1,2023
1Q,0.0,2,2023
1Q,0.0,3,2023
2Q,0.0,4,2023
2Q,-0.0,5,2023
2Q,-0.0,6,2023
3Q,-0.0,7,2023
3Q,-0.0,8,2023
3Q,-0.0,9,2023
4Q,-0.0,10,2023
4Q,-0.0,11,2023
4Q,6.6294067193303166,12,2023
1Q,40.8834544318054,1,2024
1Q,-2.5243340693855045,2,2024
1Q,-9.961321756906019,3,2024
2Q,-1.515766661367524,4,2024
2Q,-1.5102166075183734,5,2024
2Q,-1.5689946540323838,6,2024
3Q,-1.5887260964477488,7,2024
3Q,-0.44364014175998284,8,2024
3Q,-0.08474415599846961,9,2024
4Q,-0.08850854112870744,10,2024
4Q,-0.0768671910663229,11,2024
4Q,0.9648818391729899,12,2024
1Q,1.0476024014161902,1,2025
1Q,0.9881276077740769,2,2025
1Q,0.9470509645032242,3,2025
2Q,0.9280003657922042,4,2025
2Q,0.9951778199068444,5,2025
2Q,1.0172571986011496,6,2025
3Q,1.0159706622713471,7,2025
3Q,1.0239210169220376,8,2025
3Q,0.9984920507471993,9,2025
4Q,1.0735786162145595,10,2025
4Q,1.097923017267211,11,2025
4Q,0.9444322007015128,12,2025
