Quarter,%,Period,Año Texto
1Q,3.07,1,2023
1Q,0.1,2,2023
1Q,0.04,3,2023
2Q,0.21,4,2023
2Q,0.15,5,2023
2Q,0.17,6,2023
3Q,0,7,2023
3Q,-0.04,8,2023
3Q,-0.02,9,2023
4Q,0.07,10,2023
4Q,0.04,11,2023
4Q,0.11,12,2023
1Q,-0.76,1,2024
1Q,-0.65,2,2024
1Q,-0.61,3,2024
2Q,-0.62,4,2024
2Q,-0.38,5,2024
2Q,-0.16,6,2024
3Q,-0.2,7,2024
3Q,-0.32,8,2024
3Q,-0.28,9,2024
4Q,-0.16,10,2024
4Q,-0.17,11,2024
4Q,-0.25,12,2024
1Q,0.36,1,2025
1Q,-0.2,2,2025
1Q,-0.19,3,2025
2Q,-0.2,4,2025
2Q,0.01,5,2025
2Q,0.14,6,2025
3Q,0.07,7,2025
3Q,0.05,8,2025
3Q,-0.04,9,2025
4Q,0.04,10,2025
4Q,0.05,11,2025
4Q,-0.07,12,2025
