Quarter,%,Period,Año Texto
1Q,-3.2703070921002126,1,2023
1Q,0.43426427119519184,2,2023
1Q,0.0169106376700458,3,2023
2Q,-0.7134063021448644,4,2023
2Q,0.10277001253106065,5,2023
2Q,-0.5228652418452089,6,2023
3Q,0.4117342397429527,7,2023
3Q,0.38467759245722444,8,2023
3Q,-0.14631222922080897,9,2023
4Q,-1.8277383463229213,10,2023
4Q,0.40756895178497204,11,2023
4Q,-2.4830672192362315,12,2023
1Q,0.7004743684537582,1,2024
1Q,0.5125579672999642,2,2024
1Q,0.3022865760248915,3,2024
2Q,0.7491764109768675,4,2024
2Q,-0.5316739349207328,5,2024
2Q,-0.5686492202672373,6,2024
3Q,0.3763905817739207,7,2024
3Q,0.6482401471473368,8,2024
3Q,0.00224488031593237,9,2024
4Q,-1.0791034597752687,10,2024
4Q,0.18325630645576163,11,2024
4Q,0.3074242568532959,12,2024
1Q,-0.43959311308994503,1,2025
1Q,0.5138002688819117,2,2025
1Q,0.05857708500931772,3,2025
2Q,0.15018602452693372,4,2025
2Q,-1.594241863144285,5,2025
2Q,-0.8738338055321233,6,2025
3Q,0.17771875651144833,7,2025
3Q,-0.02267564702999581,8,2025
3Q,1.0028439761577521,9,2025
4Q,-1.4035358578148942,10,2025
4Q,-0.5580851730278953,11,2025
4Q,1.0,12,2025
