Quarter,%,Period,Año Texto
1Q,-3.2,1,2023
1Q,-0.13,2,2023
1Q,-0.07,3,2023
2Q,-0.23,4,2023
2Q,-0.17,5,2023
2Q,-0.2,6,2023
3Q,-0.02,7,2023
3Q,0.02,8,2023
3Q,0,9,2023
4Q,-0.1,10,2023
4Q,-0.07,11,2023
4Q,-0.14,12,2023
1Q,0.73,1,2024
1Q,0.62,2,2024
1Q,0.58,3,2024
2Q,0.6,4,2024
2Q,0.35,5,2024
2Q,0.13,6,2024
3Q,0.18,7,2024
3Q,0.3,8,2024
3Q,0.26,9,2024
4Q,0.12,10,2024
4Q,0.13,11,2024
4Q,0.21,12,2024
1Q,-0.44,1,2025
1Q,0.07,2,2025
1Q,0.07,3,2025
2Q,0.09,4,2025
2Q,-0.12,5,2025
2Q,-0.24,6,2025
3Q,-0.16,7,2025
3Q,-0.14,8,2025
3Q,-0.05,9,2025
4Q,-0.13,10,2025
4Q,-0.14,11,2025
4Q,-0.01,12,2025
