Quarter,%,Period,Año Texto
1Q,-0.26,1,2023
1Q,-0.05,2,2023
1Q,-0.05,3,2023
2Q,-0.25,4,2023
2Q,-0.15,5,2023
2Q,-0.22,6,2023
3Q,-0.04,7,2023
3Q,0.01,8,2023
3Q,-0.02,9,2023
4Q,-0.18,10,2023
4Q,-0.15,11,2023
4Q,0,12,2023
1Q,0.1,1,2024
1Q,0.2,2,2024
1Q,0.23,3,2024
2Q,0.37,4,2024
2Q,0.29,5,2024
2Q,0.15,6,2024
3Q,0.24,7,2024
3Q,0.4,8,2024
3Q,0.17,9,2024
4Q,0.09,10,2024
4Q,0.11,11,2024
4Q,0,12,2024
1Q,-0.03,1,2025
1Q,0.01,2,2025
1Q,0.01,3,2025
2Q,0.03,4,2025
2Q,-0.04,5,2025
2Q,-0.1,6,2025
3Q,-0.08,7,2025
3Q,-0.09,8,2025
3Q,-0.03,9,2025
4Q,-0.09,10,2025
4Q,-0.1,11,2025
4Q,0,12,2025
