Quarter,%,Period,Año Texto
1Q,-4.15,1,2023
1Q,-0.3,2,2023
1Q,-0.27,3,2023
2Q,-9.17,4,2023
2Q,-4.42,5,2023
2Q,20.3,6,2023
3Q,-0.3,7,2023
3Q,0.04,8,2023
3Q,-0.16,9,2023
4Q,52.1,10,2023
4Q,-3.27,11,2023
4Q,0,12,2023
1Q,0.94,1,2024
1Q,0.97,2,2024
1Q,0.97,3,2024
2Q,0.99,4,2024
2Q,0.98,5,2024
2Q,0.97,6,2024
3Q,0.98,7,2024
3Q,0.99,8,2024
3Q,0.99,9,2024
4Q,0.98,10,2024
4Q,0.99,11,2024
4Q,0,12,2024
1Q,-0.04,1,2025
1Q,0.01,2,2025
1Q,0.02,3,2025
2Q,0.03,4,2025
2Q,-0.06,5,2025
2Q,-0.14,6,2025
3Q,-0.12,7,2025
3Q,-0.12,8,2025
3Q,-0.05,9,2025
4Q,-0.12,10,2025
4Q,-0.14,11,2025
4Q,-0.01,12,2025
