Quarter,Mill,Period,Año Texto
1Q,-8110911,1,2023
1Q,-2317582,2,2023
1Q,-2131901,3,2023
2Q,-9074941.18,4,2023
2Q,-8208743.67,5,2023
2Q,-10585382.88,6,2023
3Q,-2299476.11,7,2023
3Q,456334.79,8,2023
3Q,-1367696.99,9,2023
4Q,-10261002.42,10,2023
4Q,-7707943.55,11,2023
4Q,0,12,2023
1Q,4652077.83,1,2024
1Q,9843721.94,2,2024
1Q,10725224.67,3,2024
2Q,19338785.13,4,2024
2Q,14743625.08,5,2024
2Q,7759295.8,6,2024
3Q,12266667.28,7,2024
3Q,27079603.79,8,2024
3Q,27114936.3,9,2024
4Q,14460201.94,10,2024
4Q,18390832.76,11,2024
4Q,0,12,2024
1Q,-5208597.27,1,2025
1Q,1785950.26,2,2025
1Q,2345177.72,3,2025
2Q,4458819.38,4,2025
2Q,-6818419.49,5,2025
2Q,-16261807.59,6,2025
3Q,-13538552.75,7,2025
3Q,-13870850.66,8,2025
3Q,-5713669.12,9,2025
4Q,-13914219.04,10,2025
4Q,-15642472.09,11,2025
4Q,-754572.09,12,2025
