Quarter,%,Period,Año Texto
1Q,0.94,1,2023
1Q,0.82,2,2023
1Q,0.81,3,2023
2Q,0.97,4,2023
2Q,0.97,5,2023
2Q,1.01,6,2023
3Q,0.88,7,2023
3Q,0.84,8,2023
3Q,0.84,9,2023
4Q,1,10,2023
4Q,0.95,11,2023
4Q,0.99,12,2023
1Q,0.89,1,2024
1Q,0.79,2,2024
1Q,0.76,3,2024
2Q,0.62,4,2024
2Q,0.71,5,2024
2Q,0.84,6,2024
3Q,0.76,7,2024
3Q,0.59,8,2024
3Q,0.83,9,2024
4Q,0.91,10,2024
4Q,0.89,11,2024
4Q,0.23,12,2024
1Q,0.22,1,2025
1Q,0.21,2,2025
1Q,0.23,3,2025
2Q,0.23,4,2025
2Q,0.26,5,2025
2Q,0.3,6,2025
3Q,0.29,7,2025
3Q,0.28,8,2025
3Q,0.25,9,2025
4Q,0.26,10,2025
4Q,0.26,11,2025
4Q,0.25,12,2025
